Site,number,movement,temp,pH,cond,DO,Turb,Cl,Nitrate,Mo,Fe,Ld,NH4,Ph,Nitrite,Cu,Si,Sulfide,Fluoride,Sulfate,Hg,Ni,Ca,Tl,Tp,Th,Hb,Rcr,Rce,Sl,Efr,Efl,Rr,Aa,Sa,Dr
61,0,Lo,19.3,6.84,217,5.41,33.54,0.05,0.2,0,0.16,0.02,0.28,0.61,0.02,0,10.28,0.01,8,18,0,0.5,200,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,Lo,18.4,6.96,264,6.77,28.17,0.01,0.29,0,0.2,0.02,0.32,0.88,0.03,0.07,10.16,0.02,7.8,31,0,0.3,68,0,0,0,0,0,0,0,0,0,0,0,0,0
64,10,Lo,23.2,7.72,209,8.89,4.3,0.03,1.54,0,0.04,0.08,0.962,0.28,0.099,0,4.92,0,0.1,39,0,0,100,0,0,0,0,0,0,0,3,0,0,0,0,0
65,0,Lo,22,8,123.6,2.71,10.87,0.02,0,0,0.15,0.03,0.221,0.24,0.429,0.02,7.44,0,0.2,46,0.01,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0
66,5,Lo,16,7.68,278,12,8.58,0.01,1.056,8.2,0.17,0.04,0.91,2.73,0.132,0,5.78,0.1,0,53,0,0.1,58,2,0,0,0,0,0,0,0,0,0,0,0,0
67,19,Lo,18.5,7.78,217,12.83,2.89,0,1.364,0,0.08,0.02,1.664,0.79,0.231,0.02,5.92,0.01,0.1,0,0.01,0,70,14,0,0,0,0,0,0,0,0,0,0,0,0
68,0,Len,24.1,7.47,198.6,12.72,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
69,16,Len,24.1,8.16,163.8,9.93,5.35,0.23,1.54,0,0,0,0.299,2.53,0.429,0,7.4,0.01,0.3,38,0,0,70,0,0,0,0,0,0,0,2,0,0,0,0,0
70,5,Len,26.9,7.06,263,7.22,17.75,0.11,1.056,0,0.13,0.13,0.936,1.94,0.627,0.13,7.84,0,0,2,0.08,0.2,80,0,0,0,0,0,0,0,2,0,0,0,0,0
71,0,Lo,26.3,7.96,318,8.92,1.7,0,0.132,0.2,0.55,0.1,7.64,49,0,0,3.38,0.02,0.4,49,0.01,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2,Len,27.9,8.18,148.5,25.5,1.64,0.1,0.176,0,0.14,0.06,6.136,62,0.264,0,11,0.01,0.1,11,0,0,32,0,0,0,0,0,0,0,2,0,0,0,0,0
74,0,Len,23.8,8.68,158.6,5.72,7.91,0.12,0.088,0,0.34,0.03,12.61,58,0.132,0.04,13,0.01,0.2,1,0,0,24,0,0,0,0,0,0,0,1,0,0,0,0,0
76,8,Lo,26.3,7.63,184.6,26,34.37,0.15,0.13,0,1.2,0.13,0.86,1.06,0.09,0.14,12,0,0,6,0.21,0.2,48,0,0,1,1,0,0,0,3,0,0,0,0,0
78,0,Lo,29.2,8.29,69.8,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,5,Len,34.6,6.89,1058,8.52,22.26,0.3,0.06,0,1.9,0.05,1.52,1.35,0.09,0,17.2,0,0,0,0.01,0.2,200,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3,Lo,34.4,8.05,284,15.29,6.48,0.06,0.08,0.7,0.09,0.09,1.52,1.52,0,0.09,6.38,0.01,0.3,2,0.09,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0
81,14,Len,34.5,6.8,2.78,11.44,88.12,0.12,0,0,0.89,0.15,0.79,0.57,0,0.15,0,0,0.8,4,0,1.5,40,0,0,0,0,0,0,0,0,0,0,0,0,0
82,9,Lo,34.4,7.24,2.85,19.08,23.01,0.07,0.3,0,0.53,0.03,6.5,1.59,0.19,0.03,5.4,0.03,0,19,0,0.5,40,9,0,2,0,0,0,0,0,0,0,0,0,0
83,12,Lo,26.4,7.61,768,25.8,14.94,0.03,0.04,0.4,0.15,0.04,0.74,0.2,0.07,0.02,4.38,0.04,0,52,0.14,0.1,52,2,0,0,0,0,0,0,1,0,0,0,0,0
84,11,Len,25,7.8,103.8,25,1.37,0.02,0.06,0,0.03,0.01,0.87,0.1,0.04,0.03,4.52,0,0.5,72,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1,Len,23.4,7.18,907,30.7,0.6,0.07,0.02,0,15,0.38,0.8,0.12,0.03,0.03,6.08,0.02,0,55,0.36,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
